"id";"cesky";"anglicky";"nemecky";"kategorie"
461;novinář;a journalist;der Journalist;Podstatné jméno
462;cesta;a path;die Straße;Podstatné jméno
463;soudce;a judge;der Richter;Podstatné jméno
464;udržovat, uchovávat;to keep;aufbewahren [aufbewahrt, aufbewahrt, wird aufbewahrt];Sloveso
465;zabít;to kill [killed, killed];töten [getötet (ist), tötete];Sloveso
466;král;a king;der König;Podstatné jméno
467;políbit, líbat;to kiss [kissed, kissed];küs(s)en [geküsst (worden), küsste];Sloveso
468;kuchyně;a kitchen;die Küche;Podstatné jméno
469;znát;to know [knew, known];wissen [gewusst (hat), wusste, wird gewusst];Sloveso
470;znalosti, vědomosti;knowledge;das Wissen;Podstatné jméno
471;laboratoř;a laboratory;das Laboratorium;Podstatné jméno
472;dáma, paní;a lady;die Dame;Podstatné jméno
473;jezero;a lake;das See;Podstatné jméno
474;lampa;a lamp;die Lampe;Podstatné jméno
475;jazyk;a language;die Sprache;Podstatné jméno
476;včera večer;last night;gestern Abend;Fráze
477;opozdit se;to delay;sich verspäten  [verspätet sein, verspätete sich, wird verspätet];Sloveso
478;smát se;to laugh [laughed, laughed];lachen [gelacht (ist), lachte];Sloveso
479;zákon;a law;das Gesetz;Podstatné jméno
480;trávník;a lawn;der Rasen;Podstatné jméno
481;právník;a lawyer;der Rechtsanwalt;Podstatné jméno
482;líný;lazy;faul;Přídavné jméno
483;učit se;to learn;lernen [gelernt, lernte, wird gelernt];Sloveso
484;citron;a lemon;die Zitrone;Podstatné jméno
485;půjčit;to lend [lent, lent];leihen [geliehen (ist), lieh];Sloveso
486;celoživotní;lifelong;lebenslang;Přídavné jméno
487;blesk;a flash;ein Blitz;Podstatné jméno
488;mít rád, jako;like;als;Spojka
489;obývací pokoj;a living room;das Wohnzimmer;Podstatné jméno
490;osamělý;lonely;einsam;Přídavné jméno
491;prohrát;to lose [lost, lost];verlieren [verloren (ist), verlor];Sloveso
492;ztracený;lost;verloren;Přídavné jméno
493;hlasitý, hlučný;loud;laut;Přídavné jméno
494;láska, milovat;to love;lieben [geliebt (hat/ist), liebte];Sloveso
495;zavazadla;luggage;das Gepäck;Podstatné jméno
496;oběd;lunch;das Mittagessen;Podstatné jméno
497;luxusní;luxury;luxuriös;Přídavné jméno
498;magie, kouzelný;magical;magisch;Přídavné jméno
499;ženatý;married;verheiratet;Přídavné jméno
500;zápas;a match;der Kampf;Podstatné jméno
501;medaile;a medal;die Medaille;Podstatné jméno
502;sejít se;to meet;sich treffen [getroffen (ist), traf];Sloveso
503;schůze;a meeting;die Sitzung;Podstatné jméno
504;paměť;a memory;die Erinnerung;Podstatné jméno
505;mikrovlnka;a microwave;die Mikrowelle;Podstatné jméno
506;chyba;a mistake;der Fehler;Podstatné jméno
507;pomník, památník;a monument;das Denkmal;Podstatné jméno
508;ústa;a mouth;der Mund;Podstatné jméno
509;kino;a movie theater;das Kino;Podstatné jméno
510;hudebník;a musician;der Musiker;Podstatné jméno
511;nehet;a nail;die Nagel;Podstatné jméno
512;zdřímnout si;to nap;sich kurz ausruhen  [ausgeruht (ist), ruhte sich aus, wird sich ausruhen];Sloveso
513;nutný;necessary;notwendig;Přídavné jméno
514;náhrdelník;a necklace;der Halskette;Podstatné jméno
515;potřebovat;to need;brauchen  [gebraucht (hat/ist), brauchte];Sloveso
516;zprávy;the news;die Nachrichten;Podstatné jméno
517;hezký, milý, příjemný;nice;schön;Přídavné jméno
518;přezdívka;a nickname;die Spitzname;Podstatné jméno
519;román;a novel;der Roman;Podstatné jméno
520;zdravotní sestra;a nurse;die Krankenschwester;Podstatné jméno
521;oceán;an ocean;der Ozean;Podstatné jméno
522;nabídnout;to offer;bieten [geboten (ist), bot];Sloveso
523;olej;oil;das Öl;Podstatné jméno
524;příležitost, možnost;an opportunity;die Gelegenheit;Podstatné jméno
525;oranžový;orange;orange;Přídavné jméno
526;zorganizovat, uspořádat;to organize;organisieren [organisiert, organisierte, wird organisiert];Sloveso
527;sirotek;an orphan;das Waisenkind;Podstatné jméno
528;vlastní;own;eigen;Přídavné jméno
529;balík;a package;der Paket;Podstatné jméno
530;bolest;pain;die Schmerzen;Podstatné jméno
531;malovat;to paint [painted, painted];malen [gemalt, malte, wird gemalt];Sloveso
532;lívanec;a pancake;der Pfannkuchen;Podstatné jméno
533;trpělivost;patience;die Geduld;Podstatné jméno
534;trpělivý;patient;geduldig;Přídavné jméno
535;arašídové máslo;peanut butter;die Erdnussbutter;Podstatné jméno
536;tučňák;a penguin;der Pinguin;Podstatné jméno
537;výkon;a performance;die Leistung;Podstatné jméno
538;povolení;a permit;die Erlaubnis;Podstatné jméno
539;osoba;a person;die Person;Podstatné jméno
540;přesvědčit;to persuade;überzeugen [überzeugt (hat/ist), überzeugte, wird überzeugt];Sloveso
541;domácí mazlíček;a pet;das Haustier;Podstatné jméno
542;lékárna;a pharmacy;die Apotheke;Podstatné jméno
543;fotka, obrázek, obraz;a picture;das Bild;Podstatné jméno
544;hrát si;to play;spielen [gespielt (ist), spielte];Sloveso
545;báseň;a poem;die Dichtung;Podstatné jméno
546;policie;the police;die Polizei;Podstatné jméno
547;zdvořilý;polite;höflich;Přídavné jméno
548;populace;a population;die Bevölkerung;Podstatné jméno
549;vepřové;pork;das Schweinefleisch;Podstatné jméno
550;dávat přednost;to give preference;vorziehen  [gewünscht (hat/ist)];Sloveso
551;připravit;to prepare;vorbereiten [vorbereitet (hat/ist), bereitete, wird vorbereitet];Sloveso
552;předpis, recept;a prescription;die Verordnung;Podstatné jméno
553;předstírat;to pretend;vorspielen [gespielt (hat/ist), spielte, wird vorgespielt];Sloveso
554;cena;a price;die Preis;Podstatné jméno
555;kněz;a priest;der Priester;Podstatné jméno
556;cena;a price;die Preis;Podstatné jméno
557;výrobek, produkt;a product;der Produkt;Podstatné jméno
558;chránit;to protect;schützen [geschützt (ist), schützte];Sloveso
559;protest;a protest;der Protest;Podstatné jméno
560;hrdý;proud;stolz;Přídavné jméno
561;dokázat;to prove;beweisen [bewiesen (hat/ist), bewies, wird bewiesen];Sloveso
562;veřejná doprava;public transportation;die öffentliche Verkehrsmittel;Fráze
563;dýně;a pumpkin;die Kürbis;Podstatné jméno
564;otázka;a question;die Frage;Podstatné jméno
565;rychlý;quick;schnell;Přídavné jméno
566;tichý;quiet;still;Přídavné jméno
567;králík;a rabbit;der Kaninchen;Podstatné jméno
568;duha;a rainbow;der Regenbogen;Podstatné jméno
569;deštivý;rainy;regnerisch;Přídavné jméno
570;vzácný;rare;wertvoll;Přídavné jméno
571;uvědomit si;to realize;sich bewusst werden [bewusst geworden, wurde bewusst, wird sich bewusst werden];Sloveso
572;důvod;a reason;der Grund;Podstatné jméno
573;uzdravit se, zotavit;to recover;genesen;Sloveso
574;recyklovat;to recycle [recycled, recycled];recyceln [recycelt, recycelte, wird recycelt];Sloveso
575;rozhodčí;a referee;der Schiedsrichter;Podstatné jméno
576;relaxovat, odpočívat;to relax;entspannen  [erholt, entspannte, wird entspannt];Sloveso
577;spolehlivý;reliable;zuverlässig;Přídavné jméno
578;pamatovat si;to remember;sich erinnern [erinnert, erinnerte, wird sich erinnern];Sloveso
579;pronajmout;to rent;mieten [gemietet (ist), mietete];Sloveso
580;rezervace;a reservation;die Reservierung;Podstatné jméno
581;jít do důchodu;to retire;in den Ruhestand gehen;Fráze
582;bohatý;rich;reich;Přídavné jméno
583;směšný;ridiculous;lustig;Přídavné jméno
584;řeka;a river;die Fluss;Podstatné jméno
585;robot;a robot;der Roboter;Podstatné jméno
586;v bezpečí;safe;in Sicherheit;Fráze
587;vyděšený;scared;ängstlich;Přídavné jméno
588;šála;a scarf;die Schal;Podstatné jméno
589;jízdní řád, harmonogram;a schedule;der Fahrplan;Podstatné jméno
590;škola;a school;die Schule;Podstatné jméno
591;vědec;a scientist;der Wissenschaftler;Podstatné jméno
592;sezóna, roční období;a season;die Jahreszeit;Podstatné jméno
593;prodávat;to sell [sold, sold];verkaufen [verkauft (hat/ist), verkaufte];Sloveso
594;poslat;to send [sent, sent];senden [gesendet (ist), sandte];Sloveso
595;vážný;serious;ernsthaft;Přídavné jméno
596;podělit se;to share;teilen [geteilt (ist), teilte];Sloveso
597;obchod, nakupovat;"";"Podstatné jméno|a shop|der Laden ;""
Sloveso|to shop|kaufen [gekauft (ist), kaufte]"
598;ostýchavý, plachý;shy;schüchtern;Přídavné jméno
599;nemocný;sick;krank;Přídavné jméno
600;značka, podepsat;to sign;zeichnen [gezeichnet (ist), zeichnete];Sloveso
601;zpívat;to sing [sang, sung];singen [gesungen (ist), sang];Sloveso
602;zpěvák;a singer;der Sänger;Podstatné jméno
603;pomalý;slow;langsam;Přídavné jméno
604;malý;small;klein;Přídavné jméno
605;usmívat se;to smile;lächeln [gelächelt (hat), lächelte];Sloveso
606;sněžit;to snow [snowed, snowed];schneien [geschneit (ist), schneite];Sloveso
607;mýdlo;soap;die Seife;Podstatné jméno
608;vyřešit;to solve;lösen [gelöst (hat/ist), löste, wird gelöst];Sloveso
609;písnička;a song;das Lied;Podstatné jméno
610;polévka;a soup;die Suppe;Podstatné jméno
611;vesmír, prostor;space;der Weltraum;Podstatné jméno
612;speciální, zvláštní;special;besonders;Přídavné jméno
613;utrácet;to spend;ausgeben [ausgegeben (ist), gab aus];Sloveso
614;pálivý, pikantní;spicy;würzig;Přídavné jméno
615;jaro;spring;das Frühjahr;Podstatné jméno
616;hvězda;a star;die Stern;Podstatné jméno
617;ukrást;to steal [stole, stolen];stehlen [gestohlen (ist), stahl];Sloveso
618;zastávka, zastavit;"";"Podstatné jméno|a stop|die Haltestelle ;""
Sloveso|to stop|halten [gehalten (ist), hielt]"
619;bouřka;a storm;die Sturm;Podstatné jméno
620;síla;strength;die Kraft;Podstatné jméno
621;stres;stress;der Stress;Podstatné jméno
622;vystresovaný;stressed;gestresst;Přídavné jméno
623;studovat, studium;"";"Sloveso|to study |studieren [studiert (hat)] ;""
Podstatné jméno|a study|das Studium"
624;hloupý;stupid;blöd;Přídavné jméno
625;úspěch;a success;der Erfolg;Podstatné jméno
626;úspěšný;successful;erfolgreich;Přídavné jméno
627;supermarket;a supermarket;der Supermarkt;Podstatné jméno
628;podporovat;to support;unterstützen [unterstützt, unterstützte, wird unterstützt];Sloveso
629;jistý;sure;sicher;Přídavné jméno
630;přežít;to survive;überleben [überlebt, überlebte, wird überleben];Sloveso
631;podezřelý;suspect;verdächtig;Přídavné jméno
632;přísahat;to swear [swore, sworn];schwören [geschworen (ist), schwöre];Sloveso
633;plavat;to swim [swam, swum];schwimmen [geschwommen, schwamm, wird geschwommen];Sloveso
634;stůl;a table;der Tisch;Podstatné jméno
635;vysoký;tall;hoch;Přídavné jméno
636;chutný;tasty;lecker;Přídavné jméno
637;tetování;a tattoo;das Tattoo;Podstatné jméno
638;čaj;a tea;der Tee;Podstatné jméno
639;teenager;a teenager;der Teenager;Podstatné jméno
640;říct, vyprávět;to tell;sagen [gesagt (ist), sagte];Sloveso
641;teplota;temperature;die Temperatur;Podstatné jméno
642;hrozný;terrible;fürchterlich;Přídavné jméno
643;test;a test;der Test;Podstatné jméno
644;divadlo;a theater;das Theater;Podstatné jméno
645;myslet si, přemýšlet;to think;denken [gedacht (hat), dachte];Sloveso
646;žíznivý;thirsty;durstlöstig;Přídavné jméno
647;spolu;together;mit;Spojka
648;záchod;a toilet;die Toilette;Podstatné jméno
649;toaletní papír;toilet paper;das Toilettenpapier;Podstatné jméno
650;zubní kartáček;a toothbrush;die Zahnbürste;Podstatné jméno
651;turnaj;a tournament;der Turnier;Podstatné jméno
652;tradice, zvyk;a tradition;die Tradition;Podstatné jméno
653;vlakové nádraží;a train station;das Bahnhof;Podstatné jméno
654;strom;a tree;der Baum;Podstatné jméno
655;zkusit, snažit se;to try;versuchen [versucht (hat), versuchte, wird versucht];Sloveso
656;tuňák;a tuna;der Thunfisch;Podstatné jméno
657;krůta;a turkey;die Pute;Podstatné jméno
658;vakcína, očkování;a vaccine;die Impfung;Podstatné jméno
659;videohra;a video game;das Videospiel;Podstatné jméno
660;dobrovolničit;to volunteer;freiwilligen [freiwilligt (hat/ist)];Sloveso
661;hlasovat;to vote [voted, voted];stimmen [gestimmt (ist), stimmte];Sloveso
662;čekat;to wait;warten [gewartet, wartete, wird gewartet];Sloveso
663;vzbudit;to wake up;erwecken [erwachte, wurde erweckt];Sloveso
664;válka;a war;der Krieg;Podstatné jméno
665;teplý;warm;warm;Přídavné jméno
666;mýt;to wash;waschen [gewaschen (ist), wusch];Sloveso
667;vodopád;a waterfall;der Wasserfall;Podstatné jméno
668;web;a web;die Webseite;Podstatné jméno
669;víkend;a weekend;das Wochenende;Podstatné jméno
670;vítejte;welcome;Willkommen;Fráze
671;dobře známý;well-known;bekannt;Přídavné jméno
672;na západ;westward;nach Westen;Příslovce
673;velryba;a whale;die Wal;Podstatné jméno
674;žena;a woman;die Frau;Podstatné jméno
675;báječný;wonderful;wunderbar;Přídavné jméno
676;slovo;a word;das Wort;Podstatné jméno
677;znepokojený;worried;beunruhigt;Přídavné jméno
678;psát;to write [wrote, written];schreiben [geschrieben (ist), schrieb];Sloveso
679;spisovatel;a writer;der Schriftsteller;Podstatné jméno
680;žlutý;yellow;gelb;Přídavné jméno
681;jóga;yoga;die Yoga;Podstatné jméno
682;občas;sometimes;manchmal;Příslovce
683;zlikvidujeme, rozebíráme, sbalili, sundali, těží;"";"Sloveso|to dispose of|zlikvidieren ;""


Sloveso|to dismantle|zerlegen


Sloveso|to pack|einpacken


Sloveso|to take down|abnehmen


Sloveso|to extract|ausbauen"
684;splatit, splaceny, splacené, splácet, splácím;to pay [paid, paid];bezahlen [bezahlt, bezahlte];Sloveso
685;zatočte, zabočit, zatočila, otočím, odbočit, zatočí;to turn;wenden [gewendet];Sloveso
686;opusťte, zastavili, rušen;to let go [let go, let go];lassen [gelassen (ist), ließ];Sloveso
687;přerušení, zrušení, demolice, ukončení, odstavení;a cancellation;die Absage;Podstatné jméno
688;zakrýt, pokrýt, přikrýt;to cover;decken [bedeckt, deckte, wird bedeckt];Sloveso
689;Večer, večer;Good evening;Guten Abend;Fráze
690;večer, večera, večeru;evening;der Abend;Podstatné jméno
691;večeři, večeří, večeře, večeřet, večeru;to have dinner [had dinner, had dinner];essen [gegessen (ist), aß];Sloveso
692;večeři;a dinner;das Abendessen;Podstatné jméno
693;pokladně, pokladny, pokladna;a cash register;die Kasse;Podstatné jméno
694;ale;but;aber;Spojka
695;odjet;to leave [left, left];abfahren [abgefahren (ist), fuhr];Sloveso
696;odjezd;a departure;die Abfahrt;Podstatné jméno
697;odpadu, odpad, pád;waste;der Abfall;Podstatné jméno
698;rozdělování odpadu, třídění odpadu, separace odpadu, tříděním;waste separation;die Abfalltrennung;Fráze
699;odlet, Odlet, odletem;a departure;der Abflug;Podstatné jméno
700;Odlet, odlet;Departure;Abflug;Fráze
701;výfukové plyny, emise, spalin, výfuk;exhaust fumes;die Abgase;Podstatné jméno
702;složili, složíme, vydala, odevzdány, odevzdá, podala, vydá, odevzdat, složte;to submit [submitted, submitted];einreichen [eingereicht, reichte ein];Sloveso
703;odbočili, odbočil, neodbočil;to turn off;abbiegen [abgebogen (ist), abbiegelte];Sloveso
704;odjeli, odjel, odjeté;to depart [departed, departed];abfahren [abgefahren (ist), fuhr];Sloveso
705;odlehlá, izolovaný, odlehlé, zapadlý, vzdáleně, odlehlý, odlehlému, odlehlých, vzdálený, vzdálených;remote;abgelegen;Přídavné jméno
706;poslanec;a parliamentarian;der Abgeordnete;Podstatné jméno
707;uzavřen, ukončen, dokončeny, dokončeno, uzavřeny, hotov, hotovo, dokončen, zamkl, zamčený, dokončila, sjednaná;finished;geschlossen;Přídavné jméno
708;závislá, závislé;dependent;abhängig;Přídavné jméno
709;vyzvednout, vyzvedne;to pick up [picks up, picked up];aufheben [aufgehoben (hat/ist), hob auf, wird aufgehoben];Sloveso
710;vyzvedne, vyzvedává;to pick up [picked up, picked up];aufheben [aufgehoben (hat/ist), hob auf, wird aufgehoben];Sloveso
711;svozu, odběr;collection and pickup;Abholung und Abruf;Fráze
712;vykácení lesa, kácení, odlesňování, kácení lesa, odlesňováním;deforestation;die Abholzung;Podstatné jméno
713;maturita, maturitu, maturitě;a maturity;die Matura;Podstatné jméno
714;zkracovat, zkrátil, zkrátit, zkracovat cestu, zkracujete, zkrátila, zkracují, zkrátit cestu, zkraťte, zkratit, zkrátíme;to shorten [shortened, shortened];verkürzen [verkürzt, verkürzte];Sloveso
715;průběhu, postup, chod, konec, proces, průběh, vypršení, procesů, pořadu, postupu, procesy;a course;der Verlauf;Podstatné jméno
716;ujít, probíhat, konalo, uplyne, ubíhají, proběhla, nachodím, proběhlo, probíhal, odehrává, proběhnout, uplynulo;to happen;passieren [passiert (ist), passierte];Sloveso
717;složili, složíme, odkládám, odkládej, svlékni, odkládáš, uložila, svlékněte, skládala, skládal, skládám, sundali, svlékají, uložené, sundává, uložte, svlékáte, svlékáme, složte;"";"Sloveso|to fold [folded, folded]|zusammenlegen [zusammengelegt, legte zusammen];""
Sloveso|to put aside|ablegen [abgelegt, legte ab]
Sloveso|to undress|ausziehen [ausgezogen, zog aus]
Sloveso|to put away|uložit [uložila, uložíme, uložte]|
Sloveso|to undress|svléknout [svlékla, svlékneme, svlékněte]|ausziehen [ausgezogen, zog aus, wird ausgezogen]
Sloveso|to fold|skládat [skládala, skládal, skládám]|zusammenlegen [zusammengelegt, legte zusammen, wird zusammengelegt]
Sloveso|to take off|sundat [sundali, sundáš]|abnehmen [abgenommen, nahm ab, wird abgenommen]
Sloveso|to undress|svlékat [svléká, svlékáte, svlékáme]|ausziehen [ausgezogen, zog aus, wird ausgezogen]
Podstatné jméno|the folded ones|die zusammengelegten"
